"Name","Description","Price","Rating","Feedback"
"’олодильник Indesit DS 318 W","Ўх¬х√: 60х185х64 смобщий объем: 310 лкласс энергопотреблени€: Bкапельна€ система разморозкиобъем холодильной камеры: 223 л",22990,4.5,16
"’олодильник LG DoorCooling+ GA-B459 SEKL","Ўх¬х√: 59.50х186х68.20 смобщий объем: 341 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 234 л",38690,4.5,21
"’олодильник Bosch KGN39AW32R","Ўх¬х√: 60х203х66 смобщий объем: 388 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 280 л",49870,4.9,8
"’олодильник Beko CSKR 5250M00 W","Ўх¬х√: 54х158х60 смобщий объем: 240 лкласс энергопотреблени€: Aобъем холодильной камеры: 175 лобъем морозильной камеры: 65 л",15330,5,5
"’олодильник LG DoorCooling+ GA-B459 CECL ћраморный","Ўх¬х√: 59.50х186х68.20 смобщий объем: 341 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 234 л",30050,4.6,8
"’олодильник LG DoorCooling+ GA-B459CQWL","Ўх¬х√: 59.50х186х68.20 смобщий объем: 341 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 234 л",35180,4.8,16
"’олодильник Beko CNMV 5335KC0 W","Ўх¬х√: 54х201х60 смобщий объем: 300 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 200 л",24557,4.8,25
"’олодильник Bosch KGN39VW24R","Ўх¬х√: 60х203х66 смобщий объем: 388 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 280 л",41000,5,4
"’олодильник Ѕирюса M50","Ўх¬х√: 47.20х49.20х45 смобщий объем: 45 лкласс энергопотреблени€: A+ручное размораживаниеобъем холодильной камеры: 40 л",5100,4.5,32
"’олодильник LG DoorCooling+ GA-B509MMZL","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",37490,4.5,2
"’олодильник Beko DSKR 5240M00 W","Ўх¬х√: 54х145.80х60 смобщий объем: 223 лкласс энергопотреблени€: A+капельна€ система разморозкиобъем холодильной камеры: 177 л",14660,4.8,10
"’олодильник Beko CNKR 5310K20 W","Ўх¬х√: 54х184х60 смобщий объем: 276 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 200 л",21480,4.8,5
"’олодильник Indesit EF 18","Ўх¬х√: 60х185х64 смобщий объем: 298 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 223 л",18070,4.6,81
"’олодильник Ѕирюса 122","Ўх¬х√: 48х122.50х60.50 смобщий объем: 150 лкласс энергопотреблени€: Aкапельна€ система разморозкиобъем холодильной камеры: 115 л",11410,4.5,26
"’олодильник Ѕирюса M70","Ўх¬х√: 44.50х63х51 смобщий объем: 67 лкласс энергопотреблени€: A+ручное размораживаниеобъем холодильной камеры: 66 л",6230,4.7,17
"’олодильник Indesit ITF 018 W","Ўх¬х√: 60х185х64 смобщий объем: 298 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 223 л",25990,4.6,37
"’олодильник Samsung RB34T670FWW","Ўх¬х√: 59.50х185.30х65.80 смобщий объем: 340 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 228 л",33677,5,1
"’олодильник SCANDILUX R 711 Y02 S","Ўх¬х√: 59.50х186х65 смобщий объем: 404 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 380 л",44950,NA,NA
"’олодильник Bosch KGN39UW22R","Ўх¬х√: 60х203х66 смобщий объем: 388 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 280 л",31565,4.6,25
"’олодильник Bosch KGV39XW22R","Ўх¬х√: 60х200х63 смобщий объем: 351 лкласс энергопотреблени€: A+капельна€ система разморозкиобъем холодильной камеры: 257 л",22690,4.5,34
"’олодильник Bosch KGV39XK22R","Ўх¬х√: 60х200х63 смобщий объем: 351 лкласс энергопотреблени€: A+капельна€ система разморозкиобъем холодильной камеры: 257 л",25300,4.5,18
"’олодильник SCANDILUX CNF 341 Y00 S","Ўх¬х√: 59.50х186х65 смобщий объем: 324 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 230 л",45990,NA,NA
"’олодильник Stinol STS 150","Ўх¬х√: 60х150х62 смобщий объем: 263 лкласс энергопотреблени€: Bкапельна€ система разморозкиобъем холодильной камеры: 191 л",13099,4.7,61
"’олодильник Ѕирюса 108","Ўх¬х√: 48х86.50х60.50 смобщий объем: 115 лкласс энергопотреблени€: Aручное размораживаниеобъем холодильной камеры: 88 л",8970,4.6,99
"’олодильник ATLANT ’ћ 4209-000","линейка: COMPACT 42 SerieЎх¬х√: 54.50х161.50х60 смобщий объем: 211 лкласс энергопотреблени€: Aкапельна€ система разморозки",16225,4.7,106
"’олодильник ATLANT ’ 1401-100","линейка: TABLE-TOPЎх¬х√: 48х85х44.50 смобщий объем: 93 лкласс энергопотреблени€: A+капельна€ система разморозки",10560,4.6,65
"’олодильник NORD NRT 145-032","Ўх¬х√: 57х156х62 смобщий объем: 278 лкласс энергопотреблени€: A+капельна€ система разморозкиобъем холодильной камеры: 210 л",14830,4.8,4
"’олодильник Ѕирюса 90","Ўх¬х√: 47.20х85х45 смобщий объем: 94 лкласс энергопотреблени€: A+ручное размораживаниеобъем холодильной камеры: 93 л",7258,4.4,19
"’олодильник Beko RCSK 250M00 S","Ўх¬х√: 54х158х60 смобщий объем: 250 лкласс энергопотреблени€: Aкапельна€ система разморозкиобъем холодильной камеры: 175 л",17080,4.7,32
"’олодильник Indesit DS 4180 W","Ўх¬х√: 60х185х64 смобщий объем: 310 лкласс энергопотреблени€: Bкапельна€ система разморозкиобъем холодильной камеры: 223 л",15970,4.5,21
"’олодильник Beko CNMV 5335E20 SB","Ўх¬х√: 54х201х60 смобщий объем: 300 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 200 л",25181,4.7,16
"’олодильник LG DoorCooling+ GA-B509 CLCL","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 277 л",33398,4.7,25
"’олодильник NORDFROST NRB 139-832","Ўх¬х√: 57х178х62 смобщий объем: 294 лкласс энергопотреблени€: A+капельна€ система разморозкиобъем холодильной камеры: 194 л",16975,5,3
"’олодильник Samsung RB-30 J3200EF","Ўх¬х√: 59.50х178х66.80 смобщий объем: 311 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 213 л",28690,4.7,54
"’олодильник Beko CNMV 5335EA0 S","Ўх¬х√: 54х201х60 смобщий объем: 300 лNo Frostобъем холодильной камеры: 200 лобъем морозильной камеры: 100 л",27990,4.8,18
"’олодильник Pozis RK-101 B","Ўх¬х√: 60х146х63 смобщий объем: 250 лкласс энергопотреблени€: A+капельна€ система разморозкиобъем холодильной камеры: 170 л",18060,4.8,1
"’олодильник Indesit ITF 016 W","Ўх¬х√: 60х167х64 смобщий объем: 256 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 181 л",25990,4.6,34
